CustomerID,CardNumber,Type,Limit
CID-91812,3788-6817-9270-3582,Travellers,5.00E+05
CID-502641,3819-2140-7343-8288,gold,1.00E+05
CID-702013,6975-5196-5477-7295,gold,1.00E+05
CID-454119,3148-4149-7496-2464,Platinum,2.00E+05
CID-18068,6458-5506-8312-1485,Travellers,5.00E+05
CID-662480,4021-1087-7026-3159,gold,50000
CID-371709,5455-5805-4136-6670,Platinum,5.00E+05
CID-377264,5173-9895-2163-4572,gold,5.00E+05
CID-676657,6881-7396-6446-8572,Travellers,50000
CID-857487,8603-7197-3218-8641,Shoppers,50000
CID-70611,4606-4273-1305-4364,Shoppers,1.00E+05
CID-631542,7063-7643-8339-4333,Platinum,50000
CID-658973,3782-8684-9517-7619,Platinum,2.00E+05
CID-483604,5523-1077-4487-6061,gold,50000
CID-860828,9542-6318-1578-4269,Platinum,50000
CID-787707,5489-2125-2148-8668,Platinum,5.00E+05
CID-15861,9499-1193-5676-2393,Shoppers,1.00E+05
CID-691122,8004-8974-4090-5944,Platinum,50000
CID-315161,5283-7642-6423-7790,Travellers,1.00E+05
CID-648929,6424-1072-3293-8959,Travellers,50000
CID-218816,7679-8450-7528-8890,Travellers,2.00E+05
CID-83897,9007-6873-5467-5499,Shoppers,2.00E+05
CID-101524,3676-3662-7614-1111,Shoppers,5.00E+05
CID-384768,5834-9260-5758-6458,Platinum,5.00E+05
CID-590475,8144-4112-3171-5021,Shoppers,1.00E+05
CID-676136,6737-9292-2986-4092,Platinum,1.00E+05
CID-552640,7568-1084-1062-1425,Shoppers,5.00E+05
CID-590532,7727-5804-4918-7024,Platinum,1.00E+05
CID-353009,4179-5350-1853-5784,gold,1.00E+05
CID-466435,4847-2607-3214-2496,gold,5.00E+05
CID-408721,5168-3031-2115-6984,gold,50000
CID-29561,2884-4546-7940-7827,Platinum,50000
CID-713968,3934-9629-7049-7840,Shoppers,1.00E+05
CID-86366,5612-5967-3511-2068,Shoppers,1.00E+05
CID-310133,2712-4528-8182-8664,gold,5.00E+05
CID-639091,3316-4811-2742-2726,Platinum,50000
CID-215545,9916-7875-7238-9233,Travellers,1.00E+05
CID-420223,5053-7144-1456-6740,Travellers,5.00E+05
CID-211116,5169-4435-1567-6341,Shoppers,1.00E+05
CID-651304,8505-4054-2993-4516,gold,1.00E+05
CID-836940,9880-1859-7926-6012,gold,50000
CID-671869,2793-2491-7090-4580,gold,5.00E+05
CID-774127,4870-9842-3948-5838,Shoppers,50000
CID-763697,4135-9786-4274-3302,Platinum,1.00E+05
CID-224459,6309-3955-3709-5902,Shoppers,1.00E+05
CID-271785,2827-3951-9423-1093,Shoppers,2.00E+05
CID-112100,8518-9479-1346-6278,Travellers,5.00E+05
CID-667041,4146-3478-6078-1786,Shoppers,1.00E+05
CID-216744,3988-1242-8680-5327,gold,1.00E+05
CID-310152,1649-7671-2417-9891,Platinum,50000
CID-690492,1136-8161-4521-8377,Travellers,2.00E+05
CID-490852,8876-1226-8178-1728,Platinum,50000
CID-187461,1010-1898-7134-6676,Platinum,2.00E+05
CID-566525,5289-9217-4231-3704,Platinum,50000
CID-584542,6758-5994-7498-4278,Shoppers,5.00E+05
CID-689835,1194-2190-5288-5429,Platinum,1.00E+05
CID-206438,9603-6576-1612-3995,Travellers,50000
CID-259728,7913-8477-4277-4678,Travellers,2.00E+05
CID-6515,3202-9521-9558-7423,Travellers,5.00E+05
CID-543663,3609-6682-5851-1596,Travellers,2.00E+05
CID-695599,9766-8527-2169-4413,gold,1.00E+05
CID-711681,4404-5320-4191-7329,Travellers,5.00E+05
CID-695012,3903-1779-6737-2101,Platinum,2.00E+05
CID-500893,7006-9559-1407-2628,Shoppers,50000
CID-841484,3314-2984-1949-9355,Travellers,50000
CID-375589,9587-4442-3324-7192,Platinum,50000
CID-90482,3553-1636-6660-9552,gold,2.00E+05
CID-152188,7807-2817-4167-4017,Travellers,1.00E+05
CID-575200,8647-7307-2790-8600,gold,1.00E+05
CID-549379,7259-1152-6101-2479,Travellers,1.00E+05
CID-532435,2193-5091-5216-6453,gold,1.00E+05
CID-276302,6563-4242-4212-1385,gold,5.00E+05
CID-634986,2905-3864-1182-9667,Platinum,1.00E+05
CID-105330,1342-5000-6455-7925,gold,50000
CID-90531,5835-2603-1972-3596,gold,1.00E+05
CID-840245,4281-5487-4845-4633,Shoppers,2.00E+05
CID-596966,3422-6367-3999-7722,gold,2.00E+05
CID-767181,8934-1505-3207-5112,Shoppers,2.00E+05
CID-445799,8068-6122-9599-9884,Platinum,1.00E+05
CID-588934,1947-3361-1068-5098,gold,50000
CID-648120,3129-3346-2368-4425,Travellers,2.00E+05
CID-74364,6883-4673-2372-1742,gold,1.00E+05
CID-450865,3197-9960-4502-8176,Travellers,1.00E+05
CID-588912,8605-4521-7054-2446,Platinum,1.00E+05
CID-892921,4435-3393-4101-2949,Platinum,1.00E+05
CID-336546,6906-1227-6866-4814,Shoppers,5.00E+05
CID-109203,4471-8359-3234-2729,Shoppers,1.00E+05
CID-332459,6596-1374-7413-2023,Travellers,1.00E+05
CID-409667,5899-5399-5020-4708,gold,1.00E+05
CID-555765,7694-6657-1124-5292,Shoppers,1.00E+05
CID-693529,5080-8635-2149-7430,Travellers,1.00E+05
CID-624532,9168-8873-8727-8078,gold,1.00E+05
CID-512519,7731-2209-2500-4921,Shoppers,1.00E+05
CID-120056,8618-4502-5153-4911,Platinum,1.00E+05
CID-606350,1272-3509-7469-5024,Travellers,50000
CID-748929,3895-7988-1120-2084,Platinum,1.00E+05
CID-444937,2870-8491-6999-6499,Platinum,5.00E+05
CID-752359,5161-6490-4835-8898,Platinum,2.00E+05
CID-793664,6417-6147-7664-6673,gold,1.00E+05
CID-195043,4031-9619-6430-7108,Platinum,50000
CID-518838,1529-2106-9999-4953,Travellers,1.00E+05
CID-158463,1352-9002-4597-4881,Platinum,5.00E+05
CID-636050,9188-5402-5753-9090,gold,1.00E+05
CID-325685,6547-8062-6167-5312,Platinum,50000
CID-302592,2277-8417-2751-2410,Platinum,50000
CID-400409,2025-9823-7483-8630,Shoppers,50000
CID-365422,4168-5124-6993-6744,Platinum,2.00E+05
CID-702910,6372-9093-2521-8843,Platinum,1.00E+05
CID-735305,5760-1517-5968-1077,Platinum,2.00E+05
CID-709962,6500-2166-2691-5694,Platinum,1.00E+05
CID-290211,9962-8904-2860-3301,gold,50000
CID-436923,4278-3460-8703-4312,Platinum,5.00E+05
CID-22686,1585-7217-2785-4237,Travellers,1.00E+05
CID-348417,3341-1036-9295-5698,Platinum,1.00E+05
CID-232543,1928-4257-5154-1929,gold,5.00E+05
CID-317289,6828-4192-9775-6264,Travellers,2.00E+05
CID-578172,7710-2499-2929-6202,gold,1.00E+05
CID-104580,2897-6319-1783-2851,Platinum,1.00E+05
CID-21087,8845-2554-8983-4596,gold,1.00E+05
CID-758871,6175-3102-6919-1203,Platinum,2.00E+05
CID-575559,7882-2634-7806-1364,Shoppers,5.00E+05
CID-13347,9744-2177-1904-8299,Shoppers,1.00E+05
CID-5027,1948-9148-7468-5079,gold,5.00E+05
CID-628760,6361-5682-3302-7501,Travellers,1.00E+05
CID-166289,4807-1342-9933-1910,gold,50000
CID-209306,7798-7336-6305-6542,gold,50000
CID-5476,6316-2386-2391-9116,Shoppers,50000
CID-174780,8181-3886-3846-7652,gold,2.00E+05
CID-221430,3904-9783-8540-6392,gold,2.00E+05
CID-502092,3544-1295-4553-9053,Travellers,5.00E+05
CID-461650,7874-9718-6087-5007,Platinum,50000
CID-651515,3364-6080-4021-5637,Shoppers,1.00E+05
CID-319444,3231-8329-3547-2838,Shoppers,1.00E+05
CID-843898,4273-3998-9750-3178,gold,1.00E+05
CID-609230,6273-7402-9692-9328,gold,5.00E+05
CID-117194,8496-3753-3896-9197,Platinum,5.00E+05
CID-815905,2685-7014-1519-4082,Shoppers,1.00E+05
CID-14785,5858-6382-9665-4412,Platinum,2.00E+05
CID-540920,8756-6804-3409-8118,Shoppers,5.00E+05
CID-718245,1176-2803-2554-9309,Platinum,5.00E+05
CID-878728,1092-8874-1902-9282,Shoppers,50000
CID-330094,5425-5545-5838-6015,Platinum,5.00E+05
CID-312649,3429-2382-2008-2232,gold,1.00E+05
CID-495939,1308-2286-2436-9719,Travellers,5.00E+05
CID-890108,3824-4921-9501-7077,Shoppers,50000
CID-718096,8160-9315-2464-4410,gold,1.00E+05
CID-778303,5653-1008-1856-4056,Platinum,2.00E+05
CID-559725,8611-1524-1458-8223,Platinum,5.00E+05
CID-885318,6141-7856-5751-2486,Travellers,5.00E+05
CID-652635,7546-6356-3192-7247,Travellers,2.00E+05
CID-708409,8832-7229-9215-3031,gold,5.00E+05
CID-426125,8773-6538-9045-5391,Shoppers,1.00E+05
CID-460347,2369-5780-2662-7041,Travellers,1.00E+05
CID-771917,9179-8145-3899-8186,Travellers,50000
CID-183659,5122-7308-3439-2876,gold,1.00E+05
CID-594443,9570-5484-8098-1790,gold,5.00E+05
CID-182888,8416-8179-6226-9020,Platinum,5.00E+05
CID-612269,4180-8114-3081-4241,gold,1.00E+05
CID-106263,6775-9055-3611-1685,Travellers,50000
CID-197654,3928-6851-4634-2687,gold,1.00E+05
CID-9604,8775-3048-4430-2927,Platinum,50000
CID-546850,4488-1680-5256-8617,Platinum,2.00E+05
CID-855244,7323-4651-2680-2100,Platinum,2.00E+05
CID-555317,6522-7941-3824-7061,gold,50000
CID-732017,9198-1758-9698-3144,Shoppers,5.00E+05
CID-331443,8626-7221-8048-3376,Travellers,1.00E+05
CID-121726,3170-5623-6314-5307,Platinum,1.00E+05
CID-509008,7594-1182-8898-2587,Shoppers,50000
CID-322317,2503-3761-6296-1681,Shoppers,50000
CID-665310,5454-8540-1418-3940,gold,1.00E+05
CID-730357,3883-4659-2621-7605,Travellers,50000
CID-280757,5151-6162-2392-5873,Platinum,1.00E+05
CID-781424,9889-6417-3388-2923,Platinum,2.00E+05
CID-139686,5526-7825-3885-2956,Travellers,1.00E+05
CID-781298,8385-8954-9475-2412,Shoppers,50000
CID-674361,8432-4661-1936-6594,gold,1.00E+05
CID-388002,7938-8797-6892-6596,Shoppers,5.00E+05
CID-737242,9866-5376-9167-4212,gold,2.00E+05
CID-33556,3349-8312-1226-7848,Travellers,1.00E+05
CID-550624,4909-2741-6284-1654,Platinum,2.00E+05
CID-114731,1515-3485-4713-6954,gold,2.00E+05
CID-56889,6188-2600-2635-7753,gold,50000
CID-285747,7911-2380-8978-3985,Platinum,5.00E+05
CID-55437,8550-7079-2981-3899,Platinum,1.00E+05
CID-674469,4434-9506-8859-8344,Platinum,1.00E+05
CID-575787,8250-9307-6181-9788,Shoppers,50000
CID-374779,5855-2468-7690-9545,Platinum,1.00E+05
CID-774363,9788-8261-4014-7410,Travellers,50000
CID-709594,4047-9751-5664-4496,Platinum,1.00E+05
CID-454402,4429-7271-5308-1356,Shoppers,2.00E+05
CID-406419,6759-1348-4905-8155,gold,1.00E+05
CID-871911,5269-2653-2550-3563,Travellers,1.00E+05
CID-818569,9747-8727-6361-4673,Platinum,1.00E+05
CID-327526,3699-2884-6500-8595,gold,5.00E+05
CID-227090,9520-8606-7833-8225,Platinum,2.00E+05
CID-493208,9651-2578-7858-6367,Travellers,5.00E+05
CID-162073,8309-1619-9870-1874,gold,1.00E+05
CID-774834,1590-4846-8450-6849,Platinum,5.00E+05
CID-478288,5055-3347-8403-2350,Travellers,1.00E+05
CID-194719,2164-3649-6243-4768,gold,5.00E+05
CID-130013,4854-8162-2511-2965,Platinum,5.00E+05
CID-247298,9347-6030-3568-9938,Travellers,2.00E+05
CID-179116,9548-2473-2390-1055,Platinum,1.00E+05
CID-180119,7347-8153-5038-2089,Shoppers,1.00E+05
CID-388412,8204-5100-3345-7182,Travellers,2.00E+05
CID-397208,8582-3658-2257-3218,Platinum,1.00E+05
CID-661081,3319-4399-7501-3692,Shoppers,1.00E+05
CID-667521,4965-6230-5599-3983,Platinum,5.00E+05
CID-275857,4228-9633-5203-6883,Platinum,5.00E+05
CID-68372,4538-7124-5161-3914,Platinum,1.00E+05
CID-183050,4715-6085-3466-8710,Shoppers,2.00E+05
CID-231641,9509-1076-7295-6758,Travellers,50000
CID-573711,7141-1186-3377-9259,gold,1.00E+05
CID-245767,5040-3145-3250-3465,Travellers,50000
CID-303501,9366-6602-1119-6611,Platinum,2.00E+05
CID-264981,2569-1919-3326-7006,Shoppers,1.00E+05
CID-189928,5675-1744-4691-1306,gold,50000
CID-580828,4109-8233-6299-3937,Platinum,50000
CID-47373,5553-2021-1932-4750,Platinum,1.00E+05
CID-218553,3835-4072-3170-3139,Shoppers,5.00E+05
CID-869756,5747-3691-7459-1782,Platinum,2.00E+05
CID-7684,5860-3698-1293-1804,Shoppers,5.00E+05
CID-768802,4301-2788-3912-9133,Travellers,50000
CID-828759,3750-7296-8568-1175,Platinum,2.00E+05
CID-490449,3639-4115-4278-5423,Travellers,50000
CID-12790,5210-1417-9970-4289,Shoppers,2.00E+05
CID-538676,3352-6028-5907-2711,Shoppers,1.00E+05
CID-548153,7122-5108-9416-7473,gold,1.00E+05
CID-287795,2062-1920-1017-8147,Shoppers,1.00E+05
CID-872626,6114-9394-7579-8034,Platinum,2.00E+05
CID-295152,4775-1906-5084-8144,gold,1.00E+05
CID-756750,9138-7719-8593-9739,gold,2.00E+05
CID-856179,8967-1011-6844-8387,Travellers,1.00E+05
CID-537982,3550-8753-7354-2998,Travellers,1.00E+05
CID-895326,2887-2195-3251-9395,gold,5.00E+05
CID-313774,8444-5606-8949-7476,Travellers,2.00E+05
CID-292248,3369-7064-3414-8029,Platinum,5.00E+05
CID-621062,4518-8307-8185-8870,gold,1.00E+05
CID-289878,3212-1162-7289-3362,gold,1.00E+05
CID-790665,4814-3463-2439-8057,gold,1.00E+05
CID-13157,2269-9179-3078-9190,Platinum,1.00E+05
CID-271044,8877-4559-6734-7197,Shoppers,1.00E+05
CID-549266,1798-9799-5898-4589,Shoppers,5.00E+05
CID-444931,9037-8589-9248-3370,Travellers,2.00E+05
CID-668154,1629-7467-3606-5537,Shoppers,50000
CID-661072,1390-3978-3652-4037,Shoppers,1.00E+05
CID-162644,7734-8839-1229-3102,Shoppers,1.00E+05
CID-448026,9187-2317-9777-5119,Platinum,2.00E+05
CID-133830,9969-3772-2636-6127,gold,2.00E+05
CID-379184,1854-1315-2764-3765,gold,5.00E+05
CID-537298,2251-7846-8387-5730,Shoppers,1.00E+05
CID-451344,4231-6711-2175-2844,Shoppers,1.00E+05
CID-822464,4777-2868-5194-6006,Travellers,1.00E+05
CID-737457,3918-2448-1348-1987,Shoppers,5.00E+05
CID-93579,5861-6155-4102-7228,Travellers,2.00E+05
CID-618111,6297-4424-1161-3924,Platinum,2.00E+05
CID-378251,1255-8978-2140-3486,gold,50000
CID-451991,1818-4538-9254-4499,gold,1.00E+05
CID-721114,7902-6583-3394-1437,Shoppers,1.00E+05
CID-498108,1661-3488-9309-4703,Platinum,1.00E+05
CID-34038,1938-7304-2442-8467,Platinum,2.00E+05
CID-230700,2196-1911-4717-4075,Travellers,1.00E+05
CID-609457,8279-6547-3497-8624,Shoppers,50000
CID-793310,1036-9598-6523-6827,Shoppers,50000
CID-696778,3459-4124-2002-9619,Platinum,50000
CID-245191,1057-4489-3505-1346,Shoppers,2.00E+05
CID-274917,2468-7714-8367-3247,Travellers,1.00E+05
CID-282295,5863-6970-7880-5587,Travellers,5.00E+05
CID-3847,4227-6930-2238-3352,Shoppers,50000
CID-243006,7224-3449-1508-8697,gold,1.00E+05
CID-683071,8050-8317-8594-5683,Platinum,1.00E+05
CID-445387,8079-2983-2575-2598,Platinum,50000
CID-86715,2689-1970-6402-1610,Shoppers,5.00E+05
CID-474913,8419-1932-2378-8054,Shoppers,1.00E+05
CID-194108,8350-1052-3493-1822,Travellers,50000
CID-482207,6577-9871-7670-9076,gold,50000
CID-119421,4632-9054-6936-5701,Platinum,1.00E+05
CID-574723,9644-6086-5331-9511,gold,5.00E+05
CID-571657,2006-2829-1920-7085,Platinum,50000
CID-522571,9938-9890-8906-7482,gold,5.00E+05
CID-233706,6393-8336-5931-7035,Shoppers,2.00E+05
CID-885439,1647-2668-7001-3508,gold,50000
CID-658383,9879-2961-4240-2447,Travellers,50000
CID-653520,1735-9542-3629-7152,Shoppers,5.00E+05
CID-156215,9103-1063-1514-8042,gold,2.00E+05
CID-668177,1799-6143-1331-9717,Shoppers,5.00E+05
CID-609496,6654-7601-1884-4820,gold,1.00E+05
CID-616129,5498-4051-3327-5721,Shoppers,50000
CID-154567,9355-1800-5324-3810,Shoppers,1.00E+05
CID-136199,5952-8219-3708-6381,Travellers,1.00E+05
CID-850844,8575-2888-1259-7627,Shoppers,1.00E+05
CID-284348,3879-9461-6564-1953,Shoppers,1.00E+05
CID-61545,2794-1850-6113-9215,gold,1.00E+05
CID-282840,9945-3980-2807-9662,Platinum,2.00E+05
CID-846276,2293-1326-1439-4960,Shoppers,1.00E+05
CID-609926,5188-3979-3426-2606,Platinum,1.00E+05
CID-117212,9617-1667-5626-8120,Travellers,1.00E+05
CID-211605,4951-2854-4897-8263,Platinum,1.00E+05
CID-669658,5021-2569-6434-9301,gold,1.00E+05
CID-344082,6839-1499-8831-5178,gold,50000
CID-63702,6028-1687-8570-7226,Platinum,5.00E+05
CID-18096,1748-8487-7120-9279,gold,1.00E+05
CID-667164,7136-5137-1489-6520,Platinum,2.00E+05
CID-746659,7492-9919-8488-2007,Platinum,1.00E+05
CID-359357,5520-6388-1708-2287,Travellers,1.00E+05
CID-236790,4522-4745-1225-1257,gold,50000
CID-827221,7469-4689-9829-1317,Platinum,5.00E+05
CID-169554,2177-3201-3135-9028,Travellers,50000
CID-66183,1878-8984-8463-6786,Platinum,1.00E+05
CID-575245,4625-7904-6328-2551,gold,1.00E+05
CID-347647,4516-8775-9709-7704,Platinum,1.00E+05
CID-500384,7708-4313-1393-7147,Platinum,1.00E+05
CID-809288,9620-7188-8449-2936,Platinum,50000
CID-897916,5218-4513-2347-7250,Platinum,1.00E+05
CID-844357,3969-4604-8764-1844,Travellers,2.00E+05
CID-751101,2090-6838-4734-6946,Travellers,1.00E+05
CID-818806,8778-1597-9946-2962,Shoppers,1.00E+05
CID-692749,1374-9155-8981-2757,Travellers,1.00E+05
CID-688752,8106-3362-7123-9267,Platinum,50000
CID-246122,4938-8923-3977-4027,Shoppers,2.00E+05
CID-231435,6797-8618-7906-4889,gold,2.00E+05
CID-884484,1933-6689-9402-7043,Platinum,1.00E+05
CID-685706,5299-5066-4750-7172,Travellers,50000
CID-529555,7794-7958-1780-2693,Shoppers,5.00E+05
CID-562090,8943-4450-4811-8946,gold,5.00E+05
CID-487602,9599-3819-9786-6805,Travellers,50000
CID-299307,5377-1025-6817-5585,gold,2.00E+05
CID-683988,7044-8871-4275-8179,Platinum,5.00E+05
CID-476981,7755-7127-5788-6230,Shoppers,1.00E+05
CID-598378,8384-1720-7232-5894,Platinum,2.00E+05
CID-458774,3955-5782-1650-5515,Travellers,50000
CID-372742,6431-6775-9820-4884,gold,1.00E+05
CID-612796,7005-4836-3419-3930,Shoppers,1.00E+05
CID-175355,8526-3064-9145-9394,Travellers,1.00E+05
CID-295419,9170-7407-1718-7355,Travellers,5.00E+05
CID-132873,7993-4290-7811-3558,Platinum,50000
CID-340562,3262-4146-1140-9285,Travellers,50000
CID-84884,9365-1037-8842-1592,Shoppers,5.00E+05
CID-345801,6478-6229-2855-7928,Travellers,2.00E+05
CID-233387,2329-5077-9032-7850,Platinum,1.00E+05
CID-618623,6948-1267-7908-9189,gold,1.00E+05
CID-80683,7245-4822-7834-8797,gold,1.00E+05
CID-295659,9451-3977-8821-5192,Platinum,1.00E+05
CID-724770,7123-9274-1517-1193,gold,2.00E+05
CID-613702,8829-7363-5375-4063,Travellers,2.00E+05
CID-726477,6056-7479-1464-7375,Shoppers,2.00E+05
CID-346124,8759-8895-6150-5153,Travellers,5.00E+05
CID-769762,6798-7016-1081-7671,Shoppers,1.00E+05
CID-226737,9771-2889-1793-2924,Travellers,1.00E+05
CID-682068,1265-9931-2814-4297,Travellers,1.00E+05
CID-473949,4173-5393-4155-8076,Shoppers,1.00E+05
CID-579634,8871-2144-4381-1762,Shoppers,5.00E+05
CID-342991,9289-1889-6851-9599,gold,1.00E+05
CID-449546,4015-7782-9365-9706,Shoppers,5.00E+05
CID-408588,4725-1154-3725-9440,gold,5.00E+05
